DATE,DATE,LATITUDE,LONGITUDE,STREET1,STREET2,ROAD_CLASS,District,LOCCOORD,ACCLOC,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
2017-06-03 04:00:00,2017-06-03 04:00:00,43.67528,-79.45473,ST CLAIR AVE W,CALEDONIA RD,Major Arterial,Toronto and East York,Intersection,Intersection Related,Major,West,Bicycle,Going Ahead,,,Yes,,
2017-09-25 04:00:00,2017-09-25 04:00:00,43.770049,-79.520641,4673 JANE ST,,Major Arterial,Etobicoke York,Mid-Block,Non Intersection,None,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Yes,Yes,,
2017-09-25 04:00:00,2017-09-25 04:00:00,43.770049,-79.520641,4673 JANE ST,,Major Arterial,Etobicoke York,Mid-Block,Non Intersection,Major,East,,,,Yes,Yes,,
2017-12-01 05:00:00,2017-12-01 05:00:00,43.751868,-79.286601,BIRCHMOUNT RD,MERRYFIELD DR,Major Arterial,Scarborough,Intersection,At Intersection,None,North,Passenger Van,Going Ahead,Driving Properly,,,,
2017-12-01 05:00:00,2017-12-01 05:00:00,43.751868,-79.286601,BIRCHMOUNT RD,MERRYFIELD DR,Major Arterial,Scarborough,Intersection,At Intersection,Fatal,East,,,,,,,
2008-09-04 04:00:00,2008-09-04 04:00:00,43.663845,-79.38419,YONGE Stre,BREADALBANE Stre,Major Arterial,Toronto and East York,Intersection,At Intersection,,,Other,,,,Yes,,Yes
2008-09-04 04:00:00,2008-09-04 04:00:00,43.663845,-79.38419,YONGE Stre,BREADALBANE Stre,Major Arterial,Toronto and East York,Intersection,At Intersection,None,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,,Yes,,Yes
2008-09-04 04:00:00,2008-09-04 04:00:00,43.663845,-79.38419,YONGE Stre,BREADALBANE Stre,Major Arterial,Toronto and East York,Intersection,At Intersection,Major,East,Other,,,,Yes,,Yes
2014-02-22 05:00:00,2014-02-22 05:00:00,43.652712,-79.36324599999999,PARLIAMENT ST,KING ST E,Major Arterial,Toronto and East York,Intersection,Non Intersection,None,South,Street Car,Turning Right,Driving Properly,,,,
2014-02-22 05:00:00,2014-02-22 05:00:00,43.652712,-79.36324599999999,PARLIAMENT ST,KING ST E,Major Arterial,Toronto and East York,Intersection,Non Intersection,Major,,,,,,,,
